Patates douces,450g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Botte de persil,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Pomme Granny Smith,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Noix de Grenoble,20g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Moutarde à l'ancienne,15g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Sucre Brun,13g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
"c.à.s Mélange d'épices (Fenouil, Coriandre, Muscade et Cardamome)",1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Fromage Feta,30g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Boeuf hachée,225g,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Gousses d'ail,3,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Oignons verts,2,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Avocat,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Lime,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Tomates en dés (conserve),400ml,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Haricots pinto,540ml,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Tortillas,2,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
c. à s. Épices à tacos,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Fromage Cuajada,30g,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Gousses d'ail,2,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Botte de sauge,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Courge musquée,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Demi-glace de légumes,15g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Riz Arborio,140g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Graines de citrouille,30g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Fromage Parmesan,30g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Bébé kale,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Radis,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Fenouil,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Pamplemousse Rouge,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Olive Kalamata,60g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Riz sauvage et brun,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Amandes effilées,30g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Fromage feta,60g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Bouquet de kale,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Botte de coriandre,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Gousses d'ail,2,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Pâte de tomate,10ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Pois chiches en conserve,540ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Boulgour,90g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Amandes effilées,30g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Tomates séchées,45g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Vinaigre de xérès,30ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Épices berbères,2.5g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Poitrines de poulet (Produit du Canada),600g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Tomates sur vigne,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Concombres libanais,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Laitue Frisée Rouge,1,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Chapelure Panko,90g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Miel,28g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Moutarde Jaune,45g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
c. à s. Mélange d'épices,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Yogourt grec,120g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Côtelettes de porc (Produit du Canada),600g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Botte de basilic,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Pommes de terre Russet,900g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Gousse d'ail,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Zucchini,2,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Moutarde de Dijon,15g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Mayonnaise,60ml,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
c. à s. Mélange d'épices Souvlaki,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Boeuf haché,550g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Gousses d'ail,4,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Choux de Bruxelles,170g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Carottes,200g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Oignon jaune,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Botte de persil,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Botte de romarin,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Tomates en dés,796ml,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Spaghetti,450g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Fromage Romano,30g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Filets de morue sauvage,600g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Bébés épinards,225g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Botte de thym,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Raisins rouges,115g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Courge Musquée,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Oignon rouge,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Farine tout usage,30g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Vinaigre de vin rouge,30ml,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Sucre,24g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Épeautre,140g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Poitrines de poulet,300g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gousse d'ail,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de coriandre,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gingembre,10g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Concombres libanais,3,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Tomates en dés,400ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Épices Tikka Masala,8g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Crème à cuisson (15%),125ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Pains naan,2,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Filets de morue,300g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Gingembre,25g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Tomates sur vigne,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Radis noir,125g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Concombre libanais,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Sauce de soya,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Riz jasmin,180g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Huile de sésame,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Vinaigre de riz,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Épice shichimi,2.5g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Côtelettes de porc (Produit du Canada),300g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Patates douces,450g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Botte de persil,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Pomme Granny Smith,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Noix de Grenoble,20g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Moutarde à l'ancienne,15g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Sucre Brun,13g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
"c.à.s Mélange d'épices (Fenouil, Coriandre, Muscade et Cardamome)",1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Fromage Feta,30g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Boeuf hachée,225g,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Gousses d'ail,3,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Oignons verts,2,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Avocat,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Lime,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Tomates en dés (conserve),400ml,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Haricots pinto,540ml,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Tortillas,2,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
c. à s. Épices à tacos,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Fromage Cuajada,30g,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Gousses d'ail,2,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Botte de sauge,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Courge musquée,1,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Demi-glace de légumes,15g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Riz Arborio,140g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Graines de citrouille,30g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Fromage Parmesan,30g,"<h1 class=""name-of-dish-size"">Risotto d'Hiver avec Courge Musquée</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Bébé kale,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Radis,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Fenouil,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Pamplemousse Rouge,1,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Olive Kalamata,60g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Riz sauvage et brun,90g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Amandes effilées,30g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Fromage feta,60g,"<h1 class=""name-of-dish-size"">Salade de Riz Sauvage avec Fenouil Poêlé</h1>"
Bouquet de kale,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Botte de coriandre,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Gousses d'ail,2,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Pâte de tomate,10ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Pois chiches en conserve,540ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Boulgour,90g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Amandes effilées,30g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Tomates séchées,45g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Vinaigre de xérès,30ml,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Épices berbères,2.5g,"<h1 class=""name-of-dish-size"">Salade de Kale et Tomates Séchées</h1>"
Poitrines de poulet (Produit du Canada),600g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Tomates sur vigne,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Concombres libanais,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Laitue Frisée Rouge,1,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Chapelure Panko,90g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Miel,28g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Moutarde Jaune,45g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
c. à s. Mélange d'épices,2,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Yogourt grec,120g,"<h1 class=""name-of-dish-size"">Doigts de Poulet Faits Maison</h1>"
Côtelettes de porc (Produit du Canada),600g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Botte de basilic,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Pommes de terre Russet,900g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Gousse d'ail,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Zucchini,2,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Moutarde de Dijon,15g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Mayonnaise,60ml,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
c. à s. Mélange d'épices Souvlaki,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc Frottées d'Épices</h1>"
Boeuf haché,550g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Gousses d'ail,4,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Choux de Bruxelles,170g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Carottes,200g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Oignon jaune,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Botte de persil,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Botte de romarin,1,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Tomates en dés,796ml,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Spaghetti,450g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Fromage Romano,30g,"<h1 class=""name-of-dish-size"">Spaghetti Bolognese au Boeuf</h1>"
Filets de morue sauvage,600g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Bébés épinards,225g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Botte de thym,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Raisins rouges,115g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Courge Musquée,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Oignon rouge,1,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Farine tout usage,30g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Vinaigre de vin rouge,30ml,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Sucre,24g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Épeautre,140g,"<h1 class=""name-of-dish-size"">Morue en Croute avec Raisins Marinés</h1>"
Poitrines de poulet,300g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gousse d'ail,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de coriandre,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gingembre,10g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Concombres libanais,3,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Tomates en dés,400ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Épices Tikka Masala,8g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Crème à cuisson (15%),125ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Pains naan,2,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Filets de morue,300g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Gingembre,25g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Tomates sur vigne,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Radis noir,125g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Concombre libanais,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Sauce de soya,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Riz jasmin,180g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Huile de sésame,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Vinaigre de riz,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Épice shichimi,2.5g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Côtelettes de porc (Produit du Canada),300g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Patates douces,450g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Botte de persil,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Pomme Granny Smith,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Noix de Grenoble,20g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Moutarde à l'ancienne,15g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Sucre Brun,13g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
"c.à.s Mélange d'épices (Fenouil, Coriandre, Muscade et Cardamome)",1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Fromage Feta,30g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Boeuf hachée,225g,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Gousses d'ail,3,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Oignons verts,2,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
Avocat,1,"<h1 class=""name-of-dish-size"">Chili de Boeuf et Haricots Pinto</h1>"
